"Date","Price","Open","High","Low","Change %"
"10/03/2023","5.509","5.554","5.554","5.504","0.42%"
"10/02/2023","5.486","5.469","5.510","5.466","0.16%"
"09/29/2023","5.477","5.482","5.519","5.456","-0.04%"
"09/28/2023","5.479","5.504","5.558","5.461","-0.44%"
"09/27/2023","5.503","5.494","5.504","5.478","0.09%"
"09/26/2023","5.498","5.494","5.494","5.476","0.31%"
"09/25/2023","5.481","5.518","5.518","5.478","-0.02%"
"09/22/2023","5.482","5.505","5.521","5.482","-0.04%"
"09/21/2023","5.484","5.503","5.521","5.479","0.04%"
"09/20/2023","5.482","5.482","5.543","5.477","0.09%"
"09/19/2023","5.477","5.468","5.484","5.468","0.22%"
"09/18/2023","5.465","5.516","5.516","5.463","-0.02%"
"09/15/2023","5.466","5.484","5.503","5.466","-0.09%"
"09/14/2023","5.471","5.506","5.527","5.469","-0.02%"
"09/13/2023","5.472","5.475","5.535","5.472","-0.09%"
"09/12/2023","5.477","5.488","5.488","5.475","0.31%"
"09/11/2023","5.460","5.510","5.512","5.460","-0.20%"
"09/08/2023","5.471","5.484","5.508","5.456","0.24%"
"09/07/2023","5.458","5.503","5.523","5.458","-0.26%"
"09/06/2023","5.472","5.485","5.488","5.469","0.42%"
"09/05/2023","5.449","5.471","5.486","5.431","-0.78%"
"09/04/2023","5.492","5.492","5.492","5.492","0.88%"
"09/01/2023","5.444","5.477","5.526","5.430","-0.64%"
"08/31/2023","5.479","5.496","5.519","5.456","-0.05%"
"08/30/2023","5.482","5.494","5.494","5.462","-0.11%"
"08/29/2023","5.488","5.511","5.511","5.473","-0.27%"
"08/28/2023","5.503","5.501","5.536","5.458","0.33%"
"08/25/2023","5.485","5.493","5.516","5.475","0.18%"
"08/24/2023","5.475","5.478","5.522","5.464","0.13%"
"08/23/2023","5.468","5.483","5.483","5.457","0.11%"
"08/22/2023","5.462","5.466","5.468","5.463","0.33%"
"08/21/2023","5.444","5.469","5.491","5.442","-0.02%"
"08/18/2023","5.445","5.469","5.490","5.440","-0.06%"
"08/17/2023","5.448","5.490","5.497","5.448","-0.06%"
"08/16/2023","5.451","5.472","5.472","5.448","0.00%"
"08/15/2023","5.451","5.455","5.468","5.447","0.17%"
"08/14/2023","5.442","5.481","5.481","5.434","0.18%"
"08/11/2023","5.432","5.450","5.474","5.430","-0.09%"
"08/10/2023","5.437","5.498","5.498","5.437","-0.17%"
"08/09/2023","5.446","5.454","5.454","5.446","-0.29%"
"08/08/2023","5.462","5.455","5.481","5.444","0.52%"
"08/07/2023","5.434","5.449","5.531","5.411","0.07%"
"08/04/2023","5.430","5.446","5.493","5.410","-0.13%"
"08/03/2023","5.437","5.441","5.537","5.412","0.22%"
"08/02/2023","5.425","5.418","5.426","5.405","-0.09%"
"08/01/2023","5.430","5.430","5.453","5.416","0.11%"
"07/31/2023","5.424","5.487","5.517","5.416","-0.15%"
"07/28/2023","5.432","5.487","5.492","5.427","-0.09%"
"07/27/2023","5.437","5.475","5.510","5.432","-0.02%"
"07/26/2023","5.438","5.438","5.490","5.433","0.06%"
"07/25/2023","5.435","5.432","5.460","5.426","0.31%"
"07/24/2023","5.418","5.453","5.486","5.418","-0.11%"
"07/21/2023","5.424","5.445","5.469","5.411","0.15%"
"07/20/2023","5.416","5.448","5.503","5.409","0.07%"
"07/19/2023","5.412","5.452","5.452","5.409","0.00%"
